电影名称,导演,主演,年代,地区,影片类型,评分,评分人数,简介
绿皮书, 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Morten, 维果·莫腾森 Viggo Morten,,2018,剧情 喜剧 传记 音乐,8.9,,"
去除成见，需要勇气。
"
大闹天宫, 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Run, 邱岳峰 Yuefeng Qiu / 富润生 Run,,1961(中国大陆),剧情 动画 奇幻 古装,9.4,,
黑客帝国, 安迪·沃卓斯基 Andy Wachow,,,1999,动作 科幻,9.1,,
指环王1：护戒使者, 彼得·杰克逊 Peter Jack, 伊利亚·伍德 Elijah Wood / 西恩...,,2001,剧情 动作 奇幻 冒险,9.1,,
罗马假日, 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格..., 奥黛丽·赫本 Audrey Hepburn / 格...,,1953,喜剧 剧情 爱情,9.1,,
教父2, 弗朗西斯·福特·科波拉 Franci, 阿尔·帕西诺 A...,,1974,剧情 犯罪,9.3,,
狮子王, Roger Aller, 乔纳森·泰勒·托马...,,1994,动画 冒险 歌舞,9.1,,
天堂电影院, 朱塞佩·托纳多雷 Giu, 菲利普·努瓦雷 Philipp...,,1988,剧情 爱情,9.2,,
饮食男女, 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴..., 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,,1994,剧情 家庭,9.2,,
辩护人, 杨宇硕 Woo-, 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,,2013,剧情,9.2,,"
电影的现实意义大过电影本身。
"
搏击俱乐部, 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉..., 爱德华·诺顿 Edward Norton / 布拉...,,1999,剧情 动作 悬疑 惊悚,9.0,,
本杰明·巴顿奇事, 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ..., 凯特·布兰切特 Cate Blanchett / ...,,2008,剧情 爱情 奇幻,9.0,,"
在时间之河里感受溺水之苦。
"
美丽心灵, 朗·霍华德 Ron Howard   主演: 罗素·克劳 Ru, 罗素·克劳 Ru,,2001,传记 剧情,9.1,,
